,names,fandoms,ratings,warnings,relationships,freeforms,words,chapters,comments,characters,collections,kudos,bookmarks
29,Last of the Summer Roses,Naruto,Explicit,Choose Not To Use Archive Warnings,"Senju Tobirama/Uchiha Madara, ","bridenapping, Hurt/Comfort, Angst, Crack and Angst, ? - Freeform, Senju Tobirama Needs a Hug, Uchiha Madara flails through romance, no beta we die like men, Enthusiastic Consent, doting!Madara, enthusiastic wooing, Wooing, Fluff and Angst, Fluff and Cuddling, Fluff, SO MUCH FLUFF, now with beta!, Uchiha Centers, Don't Copy to Another Site Without Permission, Suboptimalsibling!Hashirama, ",<generator object Tag._all_strings at 0x000001EB1F52B660>,89,2734,"Uchiha Izuna, Uchiha Madara, Senju Tobirama, Senju Hashirama, Senju Touka, Uchiha Hikaku, Uchiha Kagami, Uchiha Clan, ",4,2954,643
30,"The life and times of Hatake Kakashi, the long-suffering jōnin-sensei",Naruto,Not Rated,Choose Not To Use Archive Warnings,"Haruno Sakura/Uchiha Sasuke/Uzumaki Naruto, ","Implied Time Travel, Cheeky little brats, Sass, Team 7 Feels, Team 7 dynamics, Implied Saku/Sasu/Naru but nothing explicit, Could be taken as gen too, ",<generator object Tag._all_strings at 0x000001EB1F52B740>,1,943,"Hatake Kakashi, Sarutobi Hiruzen, Haruno Sakura, Uchiha Sasuke, Uzumaki Naruto, ",15,15679,4574
31,Civilians in Power,Naruto,Explicit,"Rape/Non-Con, Underage",,"Sexual Slavery, ntr, Misogyny, Rape, Past Brainwashing, Implied/Referenced Underage Sex, Implied/Referenced Underage Prostitution, ",<generator object Tag._all_strings at 0x000001EB1F52B6D0>,2,21,"Yuuhi Kurenai, Hyuuga Hinata, Haku (Naruto), Inuzuka Hana, Mitarashi Anko, Uzumaki Kushina, Uzumaki Naruko, Uzumaki Naruto, ",0,350,88
32,Deception,Naruto,Explicit,Graphic Depictions Of Violence,"Uchiha Sasuke/Uzumaki Naruto, ","Drama, Romance, Alternate Universe - Modern Setting, Slash, SasuNaru - Freeform, SasuNaruSasu - Freeform, ",<generator object Tag._all_strings at 0x000001EB1F52B820>,33,1585,"Uzumaki Naruto, Uchiha Sasuke, Hatake Kakashi, Uchiha Itachi, Gaara (Naruto), ",5,3176,833
33,Satori (Between the Lines),Naruto,Teen And Up Audiences,No Archive Warnings Apply,"Haruno Sakura & Aburame Torune, Haruno Sakura & Shikamaru Nara, Haruno Sakura & Aburame Shino, Haruno Sakura & Yamanaka Ino, Haruno Sakura & Morino Ibiki, Haruno Sakura & Sai, Haruno Sakura & Mitarashi Anko, ","Haruno Sakura-centric, BAMF Sakura, Sakura gets to channel her intelligence in a different way, Codes & Ciphers, Cipher Cracking, Set during the Academy years, Childhood, Found Family, Families of Choice, Language of Flowers, Focused on Friendship and Bonds, Attending the Academy is Actually Useful, And Actually Prepares These Children for Their Future Careers, Who knew?, I mean...yeah they're being trained to be child killers, which I don't condone, But at least train them to be effective, I mean really, Shikamaru has the emotional range of a teaspoon, But he's growing, probably, world building, Politics, clan dynamics, We delve into what it means to be a civilian-born shinobi, As opposed to a clan shinobi, The reality isn't very kind, But the people around Sakura are, Sakura is a passionate nerd, And it serves her well, And serves the people around her tbh, (Maybe even Konoha as a whole), Conspiracy, redemption arc, Character Growth, For Want of a Nail, Childhood Friends, Mystery, Angst, Angst with a Happy Ending, Guaranteed happy ending, ",<generator object Tag._all_strings at 0x000001EB1F52B7B0>,30,1836,"Haruno Sakura, Aburame Torune, Aburame Shino, Nara Shikamaru, Yamanaka Ino, Yamanaka Inoichi, Morino Ibiki, Nara Shikaku, Mizuki (Naruto), Aburame Shibi, Mitarashi Anko, Sai (Naruto), Jiraiya (Naruto), Uzumaki Naruto, Akimichi Chouji, Uchiha Shisui, ",0,6898,2212
34,How to File Form 39-B,Naruto,Explicit,No Archive Warnings Apply,"Hatake Kakashi/Umino Iruka, ",,<generator object Tag._all_strings at 0x000001EB1F52B890>,1,145,,0,10688,2494
35,"Baby Animals, Weddings, And Other Things Not Normally Associated With Uchiha Sasuke",Naruto,Teen And Up Audiences,No Archive Warnings Apply,"Uchiha Sasuke/Uzumaki Naruto, ","Accidental Marriage, Domestic, Kid Fic, ",<generator object Tag._all_strings at 0x000001EB1F52B900>,1,192,"Uchiha Sasuke, Uzumaki Naruto, Haruno Sakura, Sai (Naruto), Hatake Kakashi, Yamanaka Ino, ",9,10405,2684
36,The Worst Shift,Naruto,Explicit,Graphic Depictions Of Violence,"Uchiha Sasuke/Uzumaki Naruto, Haku/Momochi Zabuza, ","Cop!Naruto, Sexually frustrated!Sasuke, Mentions of Prostitution, Violence, Detective Work, Humor, cross-dressing, Psychological Trauma, Psychological Warfare, Torture, Aftermath of Torture, Explicit Sexual Content, Sexual Tension, First Time, coarse language, PTSD, Recovery and Triumph, SasuNaru - Freeform, Hurt/Comfort, ",<generator object Tag._all_strings at 0x000001EB1F52B9E0>,24,1301,"Hatake Kakashi, Uchiha Sasuke, Uchiha Itachi, Uzumaki Naruto, Haku (Naruto), Momochi Zabuza, Inuzuka Kiba, Uzumaki Kushina, Namikaze Minato, Uchiha Fugaku, Uchiha Mikoto, Hidan (Naruto), Jiraiya (Naruto), Tsunade (Naruto), ",3,4959,1155
37,By dawn we'll have our Wings,Naruto,Teen And Up Audiences,"Choose Not To Use Archive Warnings, Graphic Depictions Of Violence","Hatake Sakumo/Uchiha Obito, ","Obito gets sent back in time, even though he doesn't really want to be, Time Travel, Fix It, Obito is angry, obviously, When isn't he, let's be real, Sakumo is a terrible flirt, Obito blushes nonetheless, Sarutobi is so done with everyone's shit, especially a certain time traveler, Dimension Travel, pre-third war into third war, this fic did not turn out how i planned, that's okay though, I fixed the tags, do not copy to another site, i added chapters 10 and 11 after finishing, things have been edited just fyi, it's better this way tho, trust me - Freeform, ",<generator object Tag._all_strings at 0x000001EB1F52BA50>,25,901,"Uchiha Obito, Hatake Sakumo, Hatake Kakashi, Uchiha Fugaku, Uchiha Mikoto, Uzumaki Kushina, Sarutobi Hiruzen, Nohara Rin, Namikaze Minato, Yamato | Tenzou, Tsunade (Naruto), Orochimaru (Naruto), Jiraiya (Naruto), ",13,6312,1871
38,anachronism,Naruto,Teen And Up Audiences,No Archive Warnings Apply,"Hatake Sakumo/Uzumaki Naruto, Hatake Kakashi/Uchiha Obito, Minor or Background Relationship(s), Katou Dan/Tsunade, Hatake Sakumo/Original Female Character(s), Uzumaki Naruto/Original Male Character(s), Nohara Rin/Original Male Character(s), Hyuuga Neji/Original Female Character(s), Hyuuga Hinata/Uchiha Sasuke, Haruno Sakura/Uchiha Itachi, Uzumaki Naruto/Original Female Character(s), ","Alternate Universe - Time Travel, Time Travel, Minor Character Death, Major Original Character(s), Second Shinobi War, Uzushiogakure | Hidden Eddy Village, Fuuinjutsu, Third Shinobi War, Chuunin Exams, Uzumaki Naruto was Raised by Other(s), Uzumaki Naruto Raises Himself, Fuuinjutsu Master Uzumaki Naruto, No Ootsutsuki Clan, POV Multiple, ",<generator object Tag._all_strings at 0x000001EB1F52BAC0>,73,967,"Uzumaki Naruto, Tsunade (Naruto), Jiraiya (Naruto), Orochimaru (Naruto), Hatake Sakumo, Katou Dan, Original Characters, Namikaze Minato, Uzumaki Kushina, Hatake Kakashi, Uchiha Obito, Nohara Rin, Uchiha Shisui, Uchiha Itachi, Haruno Sakura, Uchiha Sasuke, Hyuuga Hinata, ",6,2488,903
39,survival of the fittest,Naruto,Teen And Up Audiences,Choose Not To Use Archive Warnings,"Haruno Sakura & Nara Shikamaru, ","Alternate Universe, Alternate Universe - Canon Divergence, Language, Violence, Torture, BAMF Sakura, BAMF Shikamaru, Don't copy to another site, ",<generator object Tag._all_strings at 0x000001EB1F52BB30>,1,550,"Haruno Sakura, Nara Shikamaru, Dai-nana-han | Team 7 (Naruto), Dai-jippan | Team 10 (Naruto), Tsunade (Naruto), Shizune (Naruto), Nara Shikaku, Nara Yoshino, OCs, ",0,7618,2991
